item,block
minecraft:breeze_rod,minecraft:bubble_coral_block
minecraft:breeze_spawn_egg,minecraft:bubble_coral_fan
minecraft:brewer_pottery_sherd,minecraft:bubble_coral_wall_fan
minecraft:brewing_stand,minecraft:budding_amethyst
minecraft:brick,minecraft:cactus
minecraft:brick_slab,minecraft:cake
minecraft:brick_stairs,minecraft:calcite
minecraft:brick_wall,minecraft:calibrated_sculk_sensor
minecraft:bricks,minecraft:campfire
minecraft:brown_banner,minecraft:candle
minecraft:brown_bed,minecraft:candle_cake
minecraft:brown_candle,minecraft:carrots
minecraft:brown_carpet,minecraft:cartography_table
minecraft:brown_concrete,minecraft:carved_pumpkin
minecraft:brown_concrete_powder,minecraft:cauldron
minecraft:brown_dye,minecraft:cave_air
minecraft:brown_glazed_terracotta,minecraft:cave_vines
minecraft:brown_mushroom,minecraft:cave_vines_plant
minecraft:brown_mushroom_block,minecraft:chain
minecraft:brown_shulker_box,minecraft:chain_command_block
minecraft:brown_stained_glass,minecraft:cherry_button
minecraft:brown_stained_glass_pane,minecraft:cherry_door
minecraft:brown_terracotta,minecraft:cherry_fence
minecraft:brown_wool,minecraft:cherry_fence_gate
minecraft:brush,minecraft:cherry_hanging_sign
minecraft:bubble_coral,minecraft:cherry_leaves
minecraft:bubble_coral_block,minecraft:cherry_log
minecraft:bubble_coral_fan,minecraft:cherry_planks
minecraft:bucket,minecraft:cherry_pressure_plate
minecraft:budding_amethyst,minecraft:cherry_sapling
minecraft:bundle,minecraft:cherry_sign
minecraft:burn_pottery_sherd,minecraft:cherry_slab
minecraft:cactus,minecraft:cherry_stairs
minecraft:cake,minecraft:cherry_trapdoor
minecraft:calcite,minecraft:cherry_wall_hanging_sign
minecraft:calibrated_sculk_sensor,minecraft:cherry_wall_sign
minecraft:camel_spawn_egg,minecraft:cherry_wood
minecraft:campfire,minecraft:chest
minecraft:candle,minecraft:chipped_anvil
minecraft:carrot,minecraft:chiseled_bookshelf
minecraft:carrot_on_a_stick,minecraft:chiseled_copper
minecraft:cartography_table,minecraft:chiseled_deepslate
minecraft:carved_pumpkin,minecraft:chiseled_nether_bricks
minecraft:cat_spawn_egg,minecraft:chiseled_polished_blackstone
minecraft:cauldron,minecraft:chiseled_quartz_block
minecraft:cave_spider_spawn_egg,minecraft:chiseled_red_sandstone
minecraft:chain,minecraft:chiseled_sandstone
minecraft:chain_command_block,minecraft:chiseled_stone_bricks
minecraft:chainmail_boots,minecraft:chiseled_tuff
minecraft:chainmail_chestplate,minecraft:chiseled_tuff_bricks
minecraft:chainmail_helmet,minecraft:chorus_flower
minecraft:chainmail_leggings,minecraft:chorus_plant
minecraft:charcoal,minecraft:clay
minecraft:cherry_boat,minecraft:coal_block
minecraft:cherry_button,minecraft:coal_ore
minecraft:cherry_chest_boat,minecraft:coarse_dirt
minecraft:cherry_door,minecraft:cobbled_deepslate
minecraft:cherry_fence,minecraft:cobbled_deepslate_slab
minecraft:cherry_fence_gate,minecraft:cobbled_deepslate_stairs
minecraft:cherry_hanging_sign,minecraft:cobbled_deepslate_wall
minecraft:cherry_leaves,minecraft:cobblestone
minecraft:cherry_log,minecraft:cobblestone_slab
minecraft:cherry_planks,minecraft:cobblestone_stairs
minecraft:cherry_pressure_plate,minecraft:cobblestone_wall
minecraft:cherry_sapling,minecraft:cobweb
minecraft:cherry_sign,minecraft:cocoa
minecraft:cherry_slab,minecraft:command_block
minecraft:cherry_stairs,minecraft:comparator
minecraft:cherry_trapdoor,minecraft:composter
minecraft:cherry_wood,minecraft:conduit
minecraft:chest,minecraft:copper_block
minecraft:chest_minecart,minecraft:copper_bulb
minecraft:chicken,minecraft:copper_door
minecraft:chicken_spawn_egg,minecraft:copper_grate
minecraft:chipped_anvil,minecraft:copper_ore
minecraft:chiseled_bookshelf,minecraft:copper_trapdoor
minecraft:chiseled_copper,minecraft:cornflower
minecraft:chiseled_deepslate,minecraft:cracked_deepslate_bricks
minecraft:chiseled_nether_bricks,minecraft:cracked_deepslate_tiles
minecraft:chiseled_polished_blackstone,minecraft:cracked_nether_bricks
minecraft:chiseled_quartz_block,minecraft:cracked_polished_blackstone_bricks
minecraft:chiseled_red_sandstone,minecraft:cracked_stone_bricks
minecraft:chiseled_sandstone,minecraft:crafter
minecraft:chiseled_stone_bricks,minecraft:crafting_table
minecraft:chiseled_tuff,minecraft:creeper_head
minecraft:chiseled_tuff_bricks,minecraft:creeper_wall_head
minecraft:chorus_flower,minecraft:crimson_button
minecraft:chorus_fruit,minecraft:crimson_door
minecraft:chorus_plant,minecraft:crimson_fence
minecraft:clay,minecraft:crimson_fence_gate
minecraft:clay_ball,minecraft:crimson_fungus
minecraft:clock,minecraft:crimson_hanging_sign
minecraft:coal,minecraft:crimson_hyphae
minecraft:coal_block,minecraft:crimson_nylium
minecraft:coal_ore,minecraft:crimson_planks
minecraft:coarse_dirt,minecraft:crimson_pressure_plate
minecraft:coast_armor_trim_smithing_template,minecraft:crimson_roots
minecraft:cobbled_deepslate,minecraft:crimson_sign
minecraft:cobbled_deepslate_slab,minecraft:crimson_slab
minecraft:cobbled_deepslate_stairs,minecraft:crimson_stairs
minecraft:cobbled_deepslate_wall,minecraft:crimson_stem
minecraft:cobblestone,minecraft:crimson_trapdoor
minecraft:cobblestone_slab,minecraft:crimson_wall_hanging_sign
minecraft:cobblestone_stairs,minecraft:crimson_wall_sign
minecraft:cobblestone_wall,minecraft:crying_obsidian
minecraft:cobweb,minecraft:cut_copper
minecraft:cocoa_beans,minecraft:cut_copper_slab
minecraft:cod,minecraft:cut_copper_stairs
minecraft:cod_bucket,minecraft:cut_red_sandstone
minecraft:cod_spawn_egg,minecraft:cut_red_sandstone_slab
minecraft:command_block,minecraft:cut_sandstone
minecraft:command_block_minecart,minecraft:cut_sandstone_slab
minecraft:comparator,minecraft:cyan_banner
minecraft:compass,minecraft:cyan_bed
minecraft:composter,minecraft:cyan_candle
minecraft:conduit,minecraft:cyan_candle_cake
minecraft:cooked_beef,minecraft:cyan_carpet
minecraft:cooked_chicken,minecraft:cyan_concrete
minecraft:cooked_cod,minecraft:cyan_concrete_powder
minecraft:cooked_mutton,minecraft:cyan_glazed_terracotta
minecraft:cooked_porkchop,minecraft:cyan_shulker_box
minecraft:cooked_rabbit,minecraft:cyan_stained_glass
minecraft:cooked_salmon,minecraft:cyan_stained_glass_pane
minecraft:cookie,minecraft:cyan_terracotta
minecraft:copper_block,minecraft:cyan_wall_banner
minecraft:copper_bulb,minecraft:cyan_wool
minecraft:copper_door,minecraft:damaged_anvil
minecraft:copper_grate,minecraft:dandelion
minecraft:copper_ingot,minecraft:dark_oak_button
minecraft:copper_ore,minecraft:dark_oak_door
minecraft:copper_trapdoor,minecraft:dark_oak_fence
minecraft:cornflower,minecraft:dark_oak_fence_gate
minecraft:cow_spawn_egg,minecraft:dark_oak_hanging_sign
minecraft:cracked_deepslate_bricks,minecraft:dark_oak_leaves
minecraft:cracked_deepslate_tiles,minecraft:dark_oak_log
minecraft:cracked_nether_bricks,minecraft:dark_oak_planks
minecraft:cracked_polished_blackstone_bricks,minecraft:dark_oak_pressure_plate
minecraft:cracked_stone_bricks,minecraft:dark_oak_sapling
minecraft:crafter,minecraft:dark_oak_sign
minecraft:crafting_table,minecraft:dark_oak_slab
minecraft:creeper_banner_pattern,minecraft:dark_oak_stairs
minecraft:creeper_head,minecraft:dark_oak_trapdoor
minecraft:creeper_spawn_egg,minecraft:dark_oak_wall_hanging_sign
minecraft:crimson_button,minecraft:dark_oak_wall_sign
minecraft:crimson_door,minecraft:dark_oak_wood
minecraft:crimson_fence,minecraft:dark_prismarine
minecraft:crimson_fence_gate,minecraft:dark_prismarine_slab
minecraft:crimson_fungus,minecraft:dark_prismarine_stairs
minecraft:crimson_hanging_sign,minecraft:daylight_detector
minecraft:crimson_hyphae,minecraft:dead_brain_coral
minecraft:crimson_nylium,minecraft:dead_brain_coral_block
minecraft:crimson_planks,minecraft:dead_brain_coral_fan
minecraft:crimson_pressure_plate,minecraft:dead_brain_coral_wall_fan
minecraft:crimson_roots,minecraft:dead_bubble_coral
minecraft:crimson_sign,minecraft:dead_bubble_coral_block
minecraft:crimson_slab,minecraft:dead_bubble_coral_fan
minecraft:crimson_stairs,minecraft:dead_bubble_coral_wall_fan
minecraft:crimson_stem,minecraft:dead_bush
minecraft:crimson_trapdoor,minecraft:dead_fire_coral
minecraft:crossbow,minecraft:dead_fire_coral_block
minecraft:crying_obsidian,minecraft:dead_fire_coral_fan
minecraft:cut_copper,minecraft:dead_fire_coral_wall_fan
minecraft:cut_copper_slab,minecraft:dead_horn_coral
minecraft:cut_copper_stairs,minecraft:dead_horn_coral_block
minecraft:cut_red_sandstone,minecraft:dead_horn_coral_fan
minecraft:cut_red_sandstone_slab,minecraft:dead_horn_coral_wall_fan
minecraft:cut_sandstone,minecraft:dead_tube_coral
minecraft:cut_sandstone_slab,minecraft:dead_tube_coral_block
minecraft:cyan_banner,minecraft:dead_tube_coral_fan
minecraft:cyan_bed,minecraft:dead_tube_coral_wall_fan
minecraft:cyan_candle,minecraft:decorated_pot
minecraft:cyan_carpet,minecraft:deepslate
minecraft:cyan_concrete,minecraft:deepslate_brick_slab
minecraft:cyan_concrete_powder,minecraft:deepslate_brick_stairs
minecraft:cyan_dye,minecraft:deepslate_brick_wall
minecraft:cyan_glazed_terracotta,minecraft:deepslate_bricks
minecraft:cyan_shulker_box,minecraft:deepslate_coal_ore
minecraft:cyan_stained_glass,minecraft:deepslate_copper_ore
minecraft:cyan_stained_glass_pane,minecraft:deepslate_diamond_ore
minecraft:cyan_terracotta,minecraft:deepslate_emerald_ore
minecraft:cyan_wool,minecraft:deepslate_gold_ore
minecraft:damaged_anvil,minecraft:deepslate_iron_ore
minecraft:dandelion,minecraft:deepslate_lapis_ore
minecraft:danger_pottery_sherd,minecraft:deepslate_redstone_ore
minecraft:dark_oak_boat,minecraft:deepslate_tile_slab
minecraft:dark_oak_button,minecraft:deepslate_tile_stairs
minecraft:dark_oak_chest_boat,minecraft:deepslate_tile_wall
minecraft:dark_oak_door,minecraft:deepslate_tiles
minecraft:dark_oak_fence,minecraft:detector_rail
minecraft:dark_oak_fence_gate,minecraft:diamond_block
minecraft:dark_oak_hanging_sign,minecraft:diamond_ore
minecraft:dark_oak_leaves,minecraft:diorite
minecraft:dark_oak_log,minecraft:diorite_slab
minecraft:dark_oak_planks,minecraft:diorite_stairs
minecraft:dark_oak_pressure_plate,minecraft:diorite_wall
minecraft:dark_oak_sapling,minecraft:dirt
minecraft:dark_oak_sign,minecraft:dirt_path
minecraft:dark_oak_slab,minecraft:dispenser
minecraft:dark_oak_stairs,minecraft:dragon_egg
minecraft:dark_oak_trapdoor,minecraft:dragon_head
minecraft:dark_oak_wood,minecraft:dragon_wall_head
minecraft:dark_prismarine,minecraft:dried_kelp_block
minecraft:dark_prismarine_slab,minecraft:dripstone_block
minecraft:dark_prismarine_stairs,minecraft:dropper
minecraft:daylight_detector,minecraft:emerald_block
minecraft:dead_brain_coral,minecraft:emerald_ore
minecraft:dead_brain_coral_block,minecraft:enchanting_table
minecraft:dead_brain_coral_fan,minecraft:end_gateway
minecraft:dead_bubble_coral,minecraft:end_portal
minecraft:dead_bubble_coral_block,minecraft:end_portal_frame
minecraft:dead_bubble_coral_fan,minecraft:end_rod
minecraft:dead_bush,minecraft:end_stone
minecraft:dead_fire_coral,minecraft:end_stone_brick_slab
minecraft:dead_fire_coral_block,minecraft:end_stone_brick_stairs
minecraft:dead_fire_coral_fan,minecraft:end_stone_brick_wall
minecraft:dead_horn_coral,minecraft:end_stone_bricks
minecraft:dead_horn_coral_block,minecraft:ender_chest
minecraft:dead_horn_coral_fan,minecraft:exposed_chiseled_copper
minecraft:dead_tube_coral,minecraft:exposed_copper
minecraft:dead_tube_coral_block,minecraft:exposed_copper_bulb
minecraft:dead_tube_coral_fan,minecraft:exposed_copper_door
minecraft:debug_stick,minecraft:exposed_copper_grate
minecraft:decorated_pot,minecraft:exposed_copper_trapdoor
minecraft:deepslate,minecraft:exposed_cut_copper
minecraft:deepslate_brick_slab,minecraft:exposed_cut_copper_slab
minecraft:deepslate_brick_stairs,minecraft:exposed_cut_copper_stairs
minecraft:deepslate_brick_wall,minecraft:farmland
minecraft:deepslate_bricks,minecraft:fern
minecraft:deepslate_coal_ore,minecraft:fire
minecraft:deepslate_copper_ore,minecraft:fire_coral
minecraft:deepslate_diamond_ore,minecraft:fire_coral_block
minecraft:deepslate_emerald_ore,minecraft:fire_coral_fan
minecraft:deepslate_gold_ore,minecraft:fire_coral_wall_fan
minecraft:deepslate_iron_ore,minecraft:fletching_table
minecraft:deepslate_lapis_ore,minecraft:flower_pot
minecraft:deepslate_redstone_ore,minecraft:flowering_azalea
minecraft:deepslate_tile_slab,minecraft:flowering_azalea_leaves
minecraft:deepslate_tile_stairs,minecraft:frogspawn
minecraft:deepslate_tile_wall,minecraft:frosted_ice
minecraft:deepslate_tiles,minecraft:furnace
minecraft:detector_rail,minecraft:gilded_blackstone
minecraft:diamond,minecraft:glass
minecraft:diamond_axe,minecraft:glass_pane
minecraft:diamond_block,minecraft:glow_lichen
minecraft:diamond_boots,minecraft:glowstone
minecraft:diamond_chestplate,minecraft:gold_block
minecraft:diamond_helmet,minecraft:gold_ore
minecraft:diamond_hoe,minecraft:granite
minecraft:diamond_horse_armor,minecraft:granite_slab
minecraft:diamond_leggings,minecraft:granite_stairs
minecraft:diamond_ore,minecraft:granite_wall
minecraft:diamond_pickaxe,minecraft:grass_block
minecraft:diamond_shovel,minecraft:gravel
minecraft:diamond_sword,minecraft:gray_banner
minecraft:diorite,minecraft:gray_bed
minecraft:diorite_slab,minecraft:gray_candle
minecraft:diorite_stairs,minecraft:gray_candle_cake
minecraft:diorite_wall,minecraft:gray_carpet
minecraft:dirt,minecraft:gray_concrete
minecraft:dirt_path,minecraft:gray_concrete_powder
minecraft:disc_fragment_5,minecraft:gray_glazed_terracotta
minecraft:dispenser,minecraft:gray_shulker_box
minecraft:dolphin_spawn_egg,minecraft:gray_stained_glass
minecraft:donkey_spawn_egg,minecraft:gray_stained_glass_pane
minecraft:dragon_breath,minecraft:gray_terracotta
minecraft:dragon_egg,minecraft:gray_wall_banner
minecraft:dragon_head,minecraft:gray_wool
minecraft:dried_kelp,minecraft:green_banner
minecraft:dried_kelp_block,minecraft:green_bed
minecraft:dripstone_block,minecraft:green_candle
minecraft:dropper,minecraft:green_candle_cake
minecraft:drowned_spawn_egg,minecraft:green_carpet
minecraft:dune_armor_trim_smithing_template,minecraft:green_concrete
minecraft:echo_shard,minecraft:green_concrete_powder
minecraft:egg,minecraft:green_glazed_terracotta
minecraft:elder_guardian_spawn_egg,minecraft:green_shulker_box
minecraft:elytra,minecraft:green_stained_glass
minecraft:emerald,minecraft:green_stained_glass_pane
minecraft:emerald_block,minecraft:green_terracotta
minecraft:emerald_ore,minecraft:green_wall_banner
minecraft:enchanted_book,minecraft:green_wool
minecraft:enchanted_golden_apple,minecraft:grindstone
minecraft:enchanting_table,minecraft:hanging_roots
minecraft:end_crystal,minecraft:hay_block
minecraft:end_portal_frame,minecraft:heavy_core
minecraft:end_rod,minecraft:heavy_weighted_pressure_plate
minecraft:end_stone,minecraft:honey_block
minecraft:end_stone_brick_slab,minecraft:honeycomb_block
minecraft:end_stone_brick_stairs,minecraft:hopper
minecraft:end_stone_brick_wall,minecraft:horn_coral
minecraft:end_stone_bricks,minecraft:horn_coral_block
minecraft:ender_chest,minecraft:horn_coral_fan
minecraft:ender_dragon_spawn_egg,minecraft:horn_coral_wall_fan
minecraft:ender_eye,minecraft:ice
minecraft:ender_pearl,minecraft:infested_chiseled_stone_bricks
minecraft:enderman_spawn_egg,minecraft:infested_cobblestone
minecraft:endermite_spawn_egg,minecraft:infested_cracked_stone_bricks
minecraft:evoker_spawn_egg,minecraft:infested_deepslate
minecraft:experience_bottle,minecraft:infested_mossy_stone_bricks
minecraft:explorer_pottery_sherd,minecraft:infested_stone
minecraft:exposed_chiseled_copper,minecraft:infested_stone_bricks
minecraft:exposed_copper,minecraft:iron_bars
minecraft:exposed_copper_bulb,minecraft:iron_block
minecraft:exposed_copper_door,minecraft:iron_door
minecraft:exposed_copper_grate,minecraft:iron_ore
minecraft:exposed_copper_trapdoor,minecraft:iron_trapdoor
minecraft:exposed_cut_copper,minecraft:jack_o_lantern
minecraft:exposed_cut_copper_slab,minecraft:jigsaw
minecraft:exposed_cut_copper_stairs,minecraft:jukebox
minecraft:eye_armor_trim_smithing_template,minecraft:jungle_button
minecraft:farmland,minecraft:jungle_door
minecraft:feather,minecraft:jungle_fence
minecraft:fermented_spider_eye,minecraft:jungle_fence_gate
minecraft:fern,minecraft:jungle_hanging_sign
minecraft:filled_map,minecraft:jungle_leaves
minecraft:fire_charge,minecraft:jungle_log
minecraft:fire_coral,minecraft:jungle_planks
minecraft:fire_coral_block,minecraft:jungle_pressure_plate
minecraft:fire_coral_fan,minecraft:jungle_sapling
minecraft:firework_rocket,minecraft:jungle_sign
minecraft:firework_star,minecraft:jungle_slab
minecraft:fishing_rod,minecraft:jungle_stairs
minecraft:fletching_table,minecraft:jungle_trapdoor
minecraft:flint,minecraft:jungle_wall_hanging_sign
minecraft:flint_and_steel,minecraft:jungle_wall_sign
minecraft:flow_armor_trim_smithing_template,minecraft:jungle_wood
minecraft:flow_banner_pattern,minecraft:kelp
minecraft:flow_pottery_sherd,minecraft:kelp_plant
minecraft:flower_banner_pattern,minecraft:ladder
minecraft:flower_pot,minecraft:lantern
minecraft:flowering_azalea,minecraft:lapis_block
minecraft:flowering_azalea_leaves,minecraft:lapis_ore
minecraft:fox_spawn_egg,minecraft:large_amethyst_bud
minecraft:friend_pottery_sherd,minecraft:large_fern
minecraft:frog_spawn_egg,minecraft:lava
minecraft:frogspawn,minecraft:lava_cauldron
minecraft:furnace,minecraft:lectern
minecraft:furnace_minecart,minecraft:lever
minecraft:ghast_spawn_egg,minecraft:light
minecraft:ghast_tear,minecraft:light_blue_banner
minecraft:gilded_blackstone,minecraft:light_blue_bed
minecraft:glass,minecraft:light_blue_candle
minecraft:glass_bottle,minecraft:light_blue_candle_cake
minecraft:glass_pane,minecraft:light_blue_carpet
minecraft:glistering_melon_slice,minecraft:light_blue_concrete
minecraft:globe_banner_pattern,minecraft:light_blue_concrete_powder
minecraft:glow_berries,minecraft:light_blue_glazed_terracotta
minecraft:glow_ink_sac,minecraft:light_blue_shulker_box
minecraft:glow_item_frame,minecraft:light_blue_stained_glass
minecraft:glow_lichen,minecraft:light_blue_stained_glass_pane
minecraft:glow_squid_spawn_egg,minecraft:light_blue_terracotta
minecraft:glowstone,minecraft:light_blue_wall_banner
minecraft:glowstone_dust,minecraft:light_blue_wool
minecraft:goat_horn,minecraft:light_gray_banner
minecraft:goat_spawn_egg,minecraft:light_gray_bed
minecraft:gold_block,minecraft:light_gray_candle
minecraft:gold_ingot,minecraft:light_gray_candle_cake
minecraft:gold_nugget,minecraft:light_gray_carpet
minecraft:gold_ore,minecraft:light_gray_concrete
minecraft:golden_apple,minecraft:light_gray_concrete_powder
minecraft:golden_axe,minecraft:light_gray_glazed_terracotta
minecraft:golden_boots,minecraft:light_gray_shulker_box
minecraft:golden_carrot,minecraft:light_gray_stained_glass
minecraft:golden_chestplate,minecraft:light_gray_stained_glass_pane
minecraft:golden_helmet,minecraft:light_gray_terracotta
minecraft:golden_hoe,minecraft:light_gray_wall_banner
minecraft:golden_horse_armor,minecraft:light_gray_wool
minecraft:golden_leggings,minecraft:light_weighted_pressure_plate
minecraft:golden_pickaxe,minecraft:lightning_rod
minecraft:golden_shovel,minecraft:lilac
minecraft:golden_sword,minecraft:lily_of_the_valley
minecraft:granite,minecraft:lily_pad
minecraft:granite_slab,minecraft:lime_banner
minecraft:granite_stairs,minecraft:lime_bed
minecraft:granite_wall,minecraft:lime_candle
minecraft:grass_block,minecraft:lime_candle_cake
minecraft:gravel,minecraft:lime_carpet
minecraft:gray_banner,minecraft:lime_concrete
minecraft:gray_bed,minecraft:lime_concrete_powder
minecraft:gray_candle,minecraft:lime_glazed_terracotta
minecraft:gray_carpet,minecraft:lime_shulker_box
minecraft:gray_concrete,minecraft:lime_stained_glass
minecraft:gray_concrete_powder,minecraft:lime_stained_glass_pane
minecraft:gray_dye,minecraft:lime_terracotta
minecraft:gray_glazed_terracotta,minecraft:lime_wall_banner
minecraft:gray_shulker_box,minecraft:lime_wool
minecraft:gray_stained_glass,minecraft:lodestone
minecraft:gray_stained_glass_pane,minecraft:loom
