atomic_number,symbol,element_name,period,electron_block,column,production_rule,celestial_source,designer_status,notes
40,Zr,Zirconium,5,d,4,Existing real element,Real-world element,Not started,Real element
41,Nb,Niobium,5,d,5,Existing real element,Real-world element,Not started,Real element
42,Mo,Molybdenum,5,d,6,Existing real element,Real-world element,Not started,Real element
43,Tc,Technetium,5,d,7,Existing real element,Real-world element,Not started,Real element
44,Ru,Ruthenium,5,d,8,Existing real element,Real-world element,Not started,Real element
45,Rh,Rhodium,5,d,9,Existing real element,Real-world element,Not started,Real element
46,Pd,Palladium,5,d,10,Existing real element,Real-world element,Not started,Real element
47,Ag,Silver,5,d,11,Existing real element,Real-world element,Not started,Real element
48,Cd,Cadmium,5,d,12,Existing real element,Real-world element,Not started,Real element
49,In,Indium,5,p,13,Existing real element,Real-world element,Not started,Real element
50,Sn,Tin,5,p,14,Existing real element,Real-world element,Not started,Real element
51,Sb,Antimony,5,p,15,Existing real element,Real-world element,Not started,Real element
52,Te,Tellurium,5,p,16,Existing real element,Real-world element,Not started,Real element
53,I,Iodine,5,p,17,Existing real element,Real-world element,Not started,Real element
54,Xe,Xenon,5,p,18,Existing real element,Real-world element,Not started,Real element
55,Cs,Caesium,6,s,0,Existing real element,Real-world element,Not started,Real element
56,Ba,Barium,6,s,1,Existing real element,Real-world element,Not started,Real element
57,La,Lanthanum,6,f,0,Existing real element,Real-world element,Not started,Real element
58,Ce,Cerium,6,f,1,Existing real element,Real-world element,Not started,Real element
59,Pr,Praseodymium,6,f,2,Existing real element,Real-world element,Not started,Real element
60,Nd,Neodymium,6,f,3,Existing real element,Real-world element,Not started,Real element
61,Pm,Promethium,6,f,4,Existing real element,Real-world element,Not started,Real element
62,Sm,Samarium,6,f,5,Existing real element,Real-world element,Not started,Real element
63,Eu,Europium,6,f,6,Existing real element,Real-world element,Not started,Real element
64,Gd,Gadolinium,6,f,7,Existing real element,Real-world element,Not started,Real element
65,Tb,Terbium,6,f,8,Existing real element,Real-world element,Not started,Real element
66,Dy,Dysprosium,6,f,9,Existing real element,Real-world element,Not started,Real element
67,Ho,Holmium,6,f,10,Existing real element,Real-world element,Not started,Real element
68,Er,Erbium,6,f,11,Existing real element,Real-world element,Not started,Real element
69,Tm,Thulium,6,f,12,Existing real element,Real-world element,Not started,Real element
70,Yb,Ytterbium,6,f,13,Existing real element,Real-world element,Not started,Real element
71,Lu,Lutetium,6,d,3,Existing real element,Real-world element,Not started,Real element
72,Hf,Hafnium,6,d,4,Existing real element,Real-world element,Not started,Real element
73,Ta,Tantalum,6,d,5,Existing real element,Real-world element,Not started,Real element
74,W,Tungsten,6,d,6,Existing real element,Real-world element,Not started,Real element
75,Re,Rhenium,6,d,7,Existing real element,Real-world element,Not started,Real element
76,Os,Osmium,6,d,8,Existing real element,Real-world element,Not started,Real element
77,Ir,Iridium,6,d,9,Existing real element,Real-world element,Not started,Real element
78,Pt,Platinum,6,d,10,Existing real element,Real-world element,Not started,Real element
79,Au,Gold,6,d,11,Existing real element,Real-world element,Not started,Real element
80,Hg,Mercury,6,d,12,Existing real element,Real-world element,Not started,Real element
81,Tl,Thallium,6,p,13,Existing real element,Real-world element,Not started,Real element
82,Pb,Lead,6,p,14,Existing real element,Real-world element,Not started,Real element
83,Bi,Bismuth,6,p,15,Existing real element,Real-world element,Not started,Real element
84,Po,Polonium,6,p,16,Existing real element,Real-world element,Not started,Real element
85,At,Astatine,6,p,17,Existing real element,Real-world element,Not started,Real element
86,Rn,Radon,6,p,18,Existing real element,Real-world element,Not started,Real element
87,Fr,Francium,7,s,0,Existing real element,Real-world element,Not started,Real element
88,Ra,Radium,7,s,1,Existing real element,Real-world element,Not started,Real element
89,Ac,Actinium,7,f,0,Existing real element,Real-world element,Not started,Real element
90,Th,Thorium,7,f,1,Existing real element,Real-world element,Not started,Real element
91,Pa,Protactinium,7,f,2,Existing real element,Real-world element,Not started,Real element
92,U,Uranium,7,f,3,Existing real element,Real-world element,Not started,Real element
93,Np,Neptunium,7,f,4,Existing real element,Real-world element,Not started,Real element
94,Pu,Plutonium,7,f,5,Existing real element,Real-world element,Not started,Real element
95,Am,Americium,7,f,6,Existing real element,Real-world element,Not started,Real element
96,Cm,Curium,7,f,7,Existing real element,Real-world element,Not started,Real element
97,Bk,Berkelium,7,f,8,Existing real element,Real-world element,Not started,Real element
98,Cf,Californium,7,f,9,Existing real element,Real-world element,Not started,Real element
99,Es,Einsteinium,7,f,10,Existing real element,Real-world element,Not started,Real element
100,Fm,Fermium,7,f,11,Existing real element,Real-world element,Not started,Real element
101,Md,Mendelevium,7,f,12,Existing real element,Real-world element,Not started,Real element
102,No,Nobelium,7,f,13,Existing real element,Real-world element,Not started,Real element
103,Lr,Lawrencium,7,d,3,Existing real element,Real-world element,Not started,Real element
104,Rf,Rutherfordium,7,d,4,Existing real element,Real-world element,Not started,Real element
105,Db,Dubnium,7,d,5,Existing real element,Real-world element,Not started,Real element
106,Sg,Seaborgium,7,d,6,Existing real element,Real-world element,Not started,Real element
107,Bh,Bohrium,7,d,7,Existing real element,Real-world element,Not started,Real element
108,Hs,Hassium,7,d,8,Existing real element,Real-world element,Not started,Real element
109,Mt,Meitnerium,7,d,9,Existing real element,Real-world element,Not started,Real element
110,Ds,Darmstadtium,7,d,10,Existing real element,Real-world element,Not started,Real element
111,Rg,Roentgenium,7,d,11,Existing real element,Real-world element,Not started,Real element
112,Cn,Copernicium,7,d,12,Existing real element,Real-world element,Not started,Real element
113,Nh,Nihonium,7,p,13,Existing real element,Real-world element,Not started,Real element
114,Fl,Flerovium,7,p,14,Existing real element,Real-world element,Not started,Real element
115,Mc,Moscovium,7,p,15,Existing real element,Real-world element,Not started,Real element
116,Lv,Livermorium,7,p,16,Existing real element,Real-world element,Not started,Real element
117,Ts,Tennessine,7,p,17,Existing real element,Real-world element,Not started,Real element
118,Og,Oganesson,7,p,18,Existing real element,Real-world element,Not started,Real element
119,An,Ancientium,8,s,0,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
120,Aa,Catalyrium,8,s,1,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
121,Ab,Resonarium,8,h,0,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
122,Ad,Voltrium,8,h,1,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
123,Ae,Synthium,8,h,2,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
124,Af,Adaptium,8,h,3,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
125,Ah,Unifornium,8,h,4,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
126,Ai,Terralium,8,h,5,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
127,Aj,Lunarium,8,h,6,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
128,Ak,Levitium,8,h,7,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
129,Ao,Pyronium,8,h,8,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
130,Ap,Aresium,8,h,9,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
131,Aq,Harmonium,8,h,10,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
132,Av,Gyrium,8,h,11,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
133,Aw,Sonorium,8,h,12,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
134,Ax,Fluxium,8,h,13,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
135,Ay,Quantium,8,h,14,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
136,Az,Metastium,8,h,15,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
137,Bb,Phasium,8,h,16,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
138,Bc,Anomalium,8,h,17,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
139,Bd,Octavafissium,8,f,0,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
140,Bf,Octavaradioium,8,f,1,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
141,Bg,Octavaactinium,8,f,2,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
142,Bj,Octavanucleoium,8,f,3,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
143,Bl,Octavadecayium,8,f,4,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
144,Bm,Octavafusionium,8,f,5,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
145,Bn,Octavafissbium,8,f,6,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
146,Bo,Octavaradiobium,8,f,7,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
147,Bp,Octavaactinbium,8,f,8,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
148,Bq,Octavanucleobium,8,f,9,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
149,Bs,Octavadecaybium,8,f,10,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
150,Bt,Octavafusionbium,8,f,11,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
151,Bu,Octavafisscium,8,f,12,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
152,Bv,Octavaradiocium,8,f,13,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
153,Bw,Octavaferroium,8,d,3,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
154,Bx,Octavacatalium,8,d,4,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
155,By,Octavaconductium,8,d,5,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
156,Bz,Octavachromium,8,d,6,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
157,Cb,Octavakinetium,8,d,7,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
158,Cc,Octavaallotropium,8,d,8,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
159,Cg,Octavaferrobium,8,d,9,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
160,Ch,Octavacatalbium,8,d,10,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
161,Ci,Octavaconductbium,8,d,11,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
162,Cj,Octavachrombium,8,d,12,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
163,Ck,Octavaaerium,8,p,13,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
164,Cp,Octavacrystium,8,p,14,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
165,Cq,Octavaluminium,8,p,15,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
166,Ct,Octavareactium,8,p,16,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
167,Cv,Octavaplasmium,8,p,17,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
168,Cw,Octavavaporium,8,p,18,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
169,Cx,Enneasolium,9,s,0,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
170,Cy,Enneaalkium,9,s,1,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
171,Cz,Enneaharmonium,9,h,0,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
172,Da,Ennearesonium,9,h,1,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
173,Dc,Enneagyroium,9,h,2,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
174,Dd,Enneasonorium,9,h,3,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
175,De,Ennearotarium,9,h,4,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
176,Df,Enneaphonoium,9,h,5,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
177,Dg,Enneaharmonbium,9,h,6,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
178,Dh,Ennearesonbium,9,h,7,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
179,Di,Enneagyrobium,9,h,8,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
180,Dj,Enneasonorbium,9,h,9,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
181,Dk,Ennearotarbium,9,h,10,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
182,Dl,Enneaphonobium,9,h,11,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
183,Dm,Enneaharmoncium,9,h,12,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
184,Dn,Ennearesoncium,9,h,13,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
185,Do,Enneagyrocium,9,h,14,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
186,Dp,Enneasonorcium,9,h,15,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
187,Dq,Ennearotarcium,9,h,16,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
188,Dr,Enneaphonocium,9,h,17,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
189,Dt,Enneafissium,9,f,0,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
190,Du,Ennearadioium,9,f,1,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
191,Dv,Enneaactinium,9,f,2,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
192,Dw,Enneanucleoium,9,f,3,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
193,Dx,Enneadecayium,9,f,4,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
194,Dz,Enneafusionium,9,f,5,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
195,Ea,Enneafissbium,9,f,6,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
196,Eb,Ennearadiobium,9,f,7,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
197,Ec,Enneaactinbium,9,f,8,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
198,Ed,Enneanucleobium,9,f,9,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
199,Ee,Enneadecaybium,9,f,10,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
200,Ef,Enneafusionbium,9,f,11,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
201,Eg,Enneafisscium,9,f,12,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
202,Eh,Ennearadiocium,9,f,13,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
203,Ei,Enneaferroium,9,d,3,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
204,Ej,Enneacatalium,9,d,4,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
205,Ek,Enneaconductium,9,d,5,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
206,El,Enneachromium,9,d,6,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
207,Em,Enneakinetium,9,d,7,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
208,En,Enneaallotropium,9,d,8,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
209,Eo,Enneaferrobium,9,d,9,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
210,Ep,Enneacatalbium,9,d,10,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
211,Eq,Enneaconductbium,9,d,11,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
212,Et,Enneachrombium,9,d,12,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
213,Ev,Enneaaerium,9,p,13,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
214,Ew,Enneacrystium,9,p,14,Natural deposit or processing,Venus,Not started,Pure fictional element; not an alloy
215,Ex,Ennealuminium,9,p,15,Natural deposit or processing,Earth,Not started,Pure fictional element; not an alloy
216,Ey,Enneareactium,9,p,16,Natural deposit or processing,Mercury,Not started,Pure fictional element; not an alloy
217,Ez,Enneaplasmium,9,p,17,Natural deposit or processing,Mars,Not started,Pure fictional element; not an alloy
218,Fa,Enneavaporium,9,p,18,Natural deposit or processing,Moon,Not started,Pure fictional element; not an alloy
219,Fb,Decarasolium,10,s,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
220,Fc,Decaraalkium,10,s,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
221,Fd,Decarametaium,10,m,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
222,Ff,Decaraphaseium,10,m,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
223,Fg,Decaraquantium,10,m,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
224,Fh,Decarafluxium,10,m,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
225,Fi,Decarashiftium,10,m,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
226,Fj,Decaraisomerium,10,m,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
227,Fk,Decarametabium,10,m,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
228,Fn,Decaraphasebium,10,m,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
229,Fo,Decaraquantbium,10,m,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
230,Fp,Decarafluxbium,10,m,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
231,Fq,Decarashiftbium,10,m,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
232,Fs,Decaraisomerbium,10,m,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
233,Ft,Decarametacium,10,m,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
234,Fu,Decaraphasecium,10,m,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
235,Fv,Decaraquantcium,10,m,14,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
236,Fw,Decarafluxcium,10,m,15,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
237,Fx,Decarashiftcium,10,m,16,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
238,Fy,Decaraisomercium,10,m,17,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
239,Fz,Decarametadium,10,m,18,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
240,Gb,Decaraphasedium,10,m,19,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
241,Gc,Decaraquantdium,10,m,20,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
242,Gf,Decarafluxdium,10,m,21,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
243,Gg,Decaraharmonium,10,h,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
244,Gh,Decararesonium,10,h,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
245,Gi,Decaragyroium,10,h,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
246,Gj,Decarasonorium,10,h,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
247,Gk,Decararotarium,10,h,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
248,Gl,Decaraphonoium,10,h,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
249,Gm,Decaraharmonbium,10,h,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
250,Gn,Decararesonbium,10,h,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
251,Go,Decaragyrobium,10,h,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
252,Gp,Decarasonorbium,10,h,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
253,Gq,Decararotarbium,10,h,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
254,Gr,Decaraphonobium,10,h,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
255,Gs,Decaraharmoncium,10,h,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
256,Gt,Decararesoncium,10,h,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
257,Gu,Decaragyrocium,10,h,14,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
258,Gv,Decarasonorcium,10,h,15,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
259,Gw,Decararotarcium,10,h,16,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
260,Gx,Decaraphonocium,10,h,17,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
261,Gy,Decarafissium,10,f,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
262,Gz,Decararadioium,10,f,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
263,Ha,Decaraactinium,10,f,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
264,Hb,Decaranucleoium,10,f,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
265,Hc,Decaradecayium,10,f,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
266,Hd,Decarafusionium,10,f,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
267,Hh,Decarafissbium,10,f,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
268,Hi,Decararadiobium,10,f,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
269,Hj,Decaraactinbium,10,f,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
270,Hk,Decaranucleobium,10,f,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
271,Hl,Decaradecaybium,10,f,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
272,Hm,Decarafusionbium,10,f,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
273,Hn,Decarafisscium,10,f,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
274,Hp,Decararadiocium,10,f,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
275,Hq,Decaraferroium,10,d,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
276,Hr,Decaracatalium,10,d,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
277,Ht,Decaraconductium,10,d,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
278,Hu,Decarachromium,10,d,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
279,Hv,Decarakinetium,10,d,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
280,Hw,Decaraallotropium,10,d,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
281,Hx,Decaraferrobium,10,d,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
282,Hy,Decaracatalbium,10,d,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
283,Hz,Decaraconductbium,10,d,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
284,Ia,Decarachrombium,10,d,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
285,Ib,Decaraaerium,10,p,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
286,Ic,Decaracrystium,10,p,14,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
287,Id,Decaraluminium,10,p,15,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
288,Ie,Decarareactium,10,p,16,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
289,If,Decaraplasmium,10,p,17,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
290,Ig,Decaravaporium,10,p,18,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
291,Ih,Undecasolium,11,s,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
292,Ii,Undecaalkium,11,s,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
293,Ij,Undecametaium,11,m,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
294,Ik,Undecaphaseium,11,m,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
295,Il,Undecaquantium,11,m,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
